Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
9-Jan,179685,162135,22369,3016,531,367736
9-Feb,200486,180723,29576,3219,583,414587
9-Mar,204352,196695,30771,3661,402,435881
9-Apr,155789,189082,36901,3834,225,385831
9-May,208266,206992,36074,6000,318,457650
9-Jun,216876,218614,42425,7009,250,485174
9-Jul,241028,250483,46886,6171,270,544838
9-Aug,292076,279054,48437,6611,175,626353
9-Sep,199285,187904,30270,4022,146,421627
9-Oct,292338,279049,38065,4313,214,613979
9-Nov,252998,249364,39367,4446,177,546352
9-Dec,258100,250897,36988,5848,122,551955
Total,2701279,2650992,438129,58150,3413,5851963
