Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
13-Jan,398608,203051,35758,10559,2007,649983
13-Feb,401103,202102,37720,10913,1519,653357
13-Mar,410591,217817,28286,9732,1057,667483
13-Apr,391991,217820,33564,15387,1747,660509
13-May,373435,222693,32768,14771,1001,644668
13-Jun,390023,214998,45315,8398,770,659504
13-Jul,415428,229554,42070,14743,628,702423
13-Aug,294396,152940,32017,8999,631,488983
13-Sep,417544,216419,30330,10591,1018,675902
13-Oct,439641,231552,27212,15020,839,714264
13-Nov,422857,220744,27267,15406,1055,687329
13-Dec,342836,163606,26262,17924,655,551283
Total,4696999,2492596,393803,151703,8778,7743879
