Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
11-Jan,331654,277686,47614,8295,895,666144
11-Feb,319954,243810,40338,7073,1042,612217
11-Mar,338582,319686,44618,7553,1633,712072
11-Apr,370737,288779,39621,7379,1519,708035
11-May,377517,281952,39851,7358,1338,708016
11-Jun,361827,243771,43744,9038,1435,659815
11-Jul,363238,312506,50667,9637,1761,737809
11-Aug,336363,284719,47618,9075,1277,679052
11-Sep,391733,276284,43643,9089,1550,722299
11-Oct,415281,253281,37281,9816,1726,717385
11-Nov,386317,230150,19153,5744,1000,642364
11-Dec,282009,133431,40279,6001,1339,463059
Total,4275212,3146055,494427,96058,16515,8028267
