Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
12-Jan,382635,206704,53337,8563,1362,652601
12-Feb,355766,258481,44336,10734,1440,670757
12-Mar,325994,247103,40026,12196,1370,626689
12-Apr,344349,236185,30385,9717,2293,622929
12-May,362127,201589,36366,13093,1872,615047
12-Jun,332272,167661,36532,12138,1865,550468
12-Jul,344733,185783,42894,11243,1005,585658
12-Aug,262136,134020,27445,9360,780,433741
12-Sep,371755,208849,35882,10755,1498,628739
12-Oct,344931,233849,42874,11694,1797,635145
12-Nov,360428,213891,38965,11760,2004,627048
12-Dec,305567,139809,32095,10404,966,488841
Total,4092693,2433924,461137,131657,18252,7137663
