Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
14-Jan,366797,173502,30012,8188,862,579361
14-Feb,423950,214532,27900,12226,478,679086
14-Mar,463070,226897,25160,10127,375,725629
14-Apr,445420,242330,23019,16241,780,727790
14-May,452353,237586,32997,15762,813,739511
14-Jun,471585,235120,27278,15759,1087,750829
14-Jul,327364,172377,20921,12709,1119,534490
14-Aug,388073,182829,20143,16733,1420,609198
14-Sep,459309,209767,21172,16131,559,706938
14-Oct,452508,190618,17195,14514,817,675652
14-Nov,425409,130200,17909,11236,849,585603
14-Dec,375814,158044,11361,10745,416,594854
Total,5051100,2371082,275067,165371,9575,7867195
