Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
7-Jan,153806,130587,52309,2940,3131,342773
7-Feb,150979,145872,46123,2914,2835,348723
7-Mar,151074,159035,47175,3441,3130,363855
7-Apr,138434,128270,41173,3785,3263,314925
7-May,169217,168367,32965,2665,3192,376406
7-Jun,159859,154220,50391,2680,3161,370311
7-Jul,143233,161061,53468,3187,3438,364387
7-Aug,187436,167208,65334,3586,3579,427143
7-Sep,239213,162639,68260,3793,3167,477072
7-Oct,214098,146908,57515,2112,1757,422390
7-Nov,243181,174086,64179,2717,2814,486977
7-Dec,190495,136998,58139,4314,3355,393301
Total,2141025,1835251,637031,38134,36822,4688263
