Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
6-Jan,116873,105025,39469,3153,2098,266618
6-Feb,167916,123809,32600,3406,3036,330767
6-Mar,145031,93331,32794,3524,1743,276423
6-Apr,140214,93272,33571,2602,1433,271092
6-May,170839,111472,37725,1297,1347,322680
6-Jun,171674,122286,46724,1367,1348,343399
6-Jul,186047,131615,47206,3009,2470,370347
6-Aug,241416,136837,56180,3449,2406,440288
6-Sep,276384,143566,67556,3644,2965,494115
6-Oct,174249,109522,55616,2854,2344,344585
6-Nov,293389,156679,67299,3021,3679,524067
6-Dec,255136,131147,51301,2360,3017,442961
Total,2339168,1458561,568041,33686,27886,4427342
