Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
10-Jan,216041,239340,40225,5919,1420,502945
10-Feb,242865,250894,37064,6007,1420,538250
10-Mar,291257,269041,39007,7072,2314,608691
10-Apr,304529,308418,35228,5874,1764,655813
10-May,318038,272825,41536,5976,1859,640234
10-Jun,292778,298708,51519,7665,2719,653389
10-Jul,334742,303118,51316,7976,2261,699413
10-Aug,350669,316447,54325,8480,2211,732132
10-Sep,220346,208690,43079,5837,1288,479240
10-Oct,323154,315060,47699,7486,1873,695272
10-Nov,306113,295731,43271,7838,871,653824
10-Dec,215515,248108,38000,7000,790,509413
Total,3416047,3326380,522269,83130,20790,7368616
