Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
15-Jan,339850,140243,11389,10782,519,502783
15-Feb,376973,150840,11010,16968,300,556091
15-Mar,376571,145609,9009,14736,244,546169
15-Apr,371001,139978,8604,5089,103,524775
15-May,304900,150745,7355,6330,300,469630
15-Jun,361767,191965,12097,8636,249,574714
15-Jul,278754,124875,10234,7706,269,421838
15-Aug,430953,169277,10155,11518,186,622089
15-Sep,425458,158101,9050,10251,242,603102
15-Oct,453944,131463,7242,10105,128,602882
15-Nov,394726,125472,7600,7804,80,535682
15-Dec,338991,170062,6137,5083,127,520400
Total,4453888,1798630,109882,115008,2747,6480155
