Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
8-Jan,208130,185900,73043,2285,3702,473060
8-Feb,206748,188047,63553,2720,3716,464784
8-Mar,227590,186286,68320,3025,3525,488746
8-Apr,254272,221016,60607,3043,3812,542750
8-May,250891,217867,66202,3295,3855,542110
8-Jun,258038,204735,73614,3412,4078,543878
8-Jul,278823,214136,76001,4536,4261,577757
8-Aug,300585,223222,80552,4937,2736,612032
8-Sep,263094,212012,75047,5250,4234,559637
8-Oct,222012,207671,79644,3744,2052,515123
8-Nov,230544,210231,46200,5179,1084,493238
8-Dec,173849,194423,30975,3264,239,402750
Total,2874576,2465546,793758,44690,37294,6215865
